Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,200,1
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,199,2
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,198,3
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,197,4
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,196,5
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,195,6
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,194,7
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,193,8
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,192,9
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,191,10
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,190,11
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,189,12
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,188,13
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,187,14
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,186,15
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,185,16
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,184,17
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,183,18
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,182,19
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,181,20
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,180,21
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,179,22
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,178,23
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,177,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,176,25
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,175,26
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,174,27
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,173,28
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,172,29
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,171,30
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,170,31
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,169,32
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,168,33
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,167,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,166,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,165,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,164,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,163,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,162,39
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,161,40
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,160,41
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,159,42
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,158,43
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,157,44
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,156,45
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,155,46
